"accuracy","kappa","misclassification","recall.TRUE","recall.FALSE","precision.TRUE","precision.FALSE","prevalence.TRUE","prevalence.FALSE","detection_prevalence.TRUE","detection_prevalence.FALSE","f1.TRUE","f1.FALSE","TP","FP","FN","TN","classifier","method","cv.iteration","cv.fold","sampling","kknn.distance","kknn.kernel","kknn.k","info","preprocess"
0.914466936639173,0.66795452325753,0.0855330633608269,0.954283374169358,0.698922910174773,0.944958188189809,0.740272544578898,0.844051589231538,0.155948410768462,0.852410067063023,0.147589932936977,0.949567923681508,0.718280140289993,626.25,36.5,30,84.75,"kknn","cv",1,4,"over",2,"optimal",1,"","normalize"
0.915753937926174,0.670728314826297,0.0842460620738256,0.956572279763894,0.694807614144425,0.944381031771712,0.749540918897715,0.844051589231538,0.155948410768462,0.854982415393726,0.145017584606274,0.950398995223491,0.720174745629342,627.75,37,28.5,84.25,"kknn","cv",1,4,"over",2,"optimal",2,"","normalize"
0.918645968774503,0.677798942210299,0.0813540312254965,0.96075739224858,0.690675382739466,0.94396218158532,0.76672593317377,0.844051589231538,0.155948410768462,0.859158966164108,0.140841033835892,0.952235726905481,0.725307411714082,630.5,37.5,25.75,83.75,"kknn","cv",1,4,"over",2,"optimal",3,"","normalize"
0.920261337356453,0.685102987756135,0.079738662643547,0.961145450495601,0.699041457797047,0.94534632034632,0.768622098389171,0.844051589231538,0.155948410768462,0.858198677928755,0.141801322071245,0.953165890920224,0.73177608676184,630.75,36.5,25.5,84.75,"kknn","cv",1,4,"over",2,"optimal",4,"","normalize"
0.915112918647623,0.66879850242513,0.084887081352377,0.955810084641942,0.694875355642867,0.944366147188827,0.746842759686796,0.844051589231538,0.155948410768462,0.854335606263627,0.145664393736373,0.949998831329578,0.718623990916243,627.25,37,29,84.25,"kknn","cv",1,4,"over",2,"optimal",5,"","normalize"
0.915750979293983,0.700629754112094,0.0842490207060168,0.934476161970524,0.814337488145238,0.964625397941681,0.697159885523864,0.844051873255981,0.155948126744019,0.817689824429234,0.182310175570766,0.949294927987804,0.750941554956757,613.25,22.5,43,98.75,"kknn","cv",1,4,"over",2,"optimal",6,"","normalize"
0.913500858552272,0.695288650709337,0.0864991414477276,0.931046283921743,0.818571331797859,0.965265682559765,0.687297387490465,0.844051589231538,0.155948410768462,0.814144938180928,0.185855061819072,0.947830498874498,0.746953832331191,611,22,45.25,99.25,"kknn","cv",1,4,"over",2,"optimal",7,"","normalize"
0.913181107019361,0.695733209965251,0.0868188929806388,0.929519573449159,0.824820485029129,0.966396725057016,0.684417165787029,0.844051873255981,0.155948126744019,0.811887579859339,0.188112420140661,0.947566336271044,0.747573818276229,610,21.25,46.25,100,"kknn","cv",1,4,"over",2,"optimal",8,"","normalize"
0.914469418004122,0.696358140116207,0.0855305819958776,0.93371106656272,0.810272998238721,0.963829360475439,0.694203691208844,0.844051589231538,0.155948410768462,0.81768750020678,0.18231249979322,0.948508540786325,0.747433922221412,612.75,23,43.5,98.25,"kknn","cv",1,4,"over",2,"optimal",9,"","normalize"
0.911253982590744,0.688235437778208,0.0887460174092565,0.929517253220477,0.812389920065032,0.964037240109735,0.68234253129711,0.844051589231538,0.155948410768462,0.813825255663302,0.186174744336698,0.946431760443857,0.741236134564762,610,22.75,46.25,98.5,"kknn","cv",1,4,"over",2,"optimal",10,"","normalize"
0.910610068386418,0.697354541913425,0.089389931613582,0.919615677321157,0.861858149302263,0.972984636895724,0.665089319897222,0.844051589231538,0.155948410768462,0.797750559961357,0.202249440038643,0.945538100821037,0.75068860893443,603.5,16.75,52.75,104.5,"kknn","cv",1,4,"over",2,"optimal",11,"","normalize"
0.914792409008347,0.705912992034959,0.0852075909916527,0.926473693247206,0.851527570789866,0.971401167036801,0.682602371572349,0.844051589231538,0.155948410768462,0.805140478340992,0.194859521659008,0.948326044843075,0.756741839530162,608,18,48.25,103.25,"kknn","cv",1,4,"over",2,"optimal",12,"","normalize"
0.912858598591246,0.697657864769549,0.0871414014087536,0.926855370865352,0.8370478254979,0.96856719647984,0.679111847119063,0.844051589231538,0.155948410768462,0.807718616523244,0.192281383476756,0.947241702379121,0.749710296123338,608.25,19.75,48,101.5,"kknn","cv",1,4,"over",2,"optimal",13,"","normalize"
0.908358643255816,0.689814553912558,0.0916413567441845,0.91809882782047,0.855710608318656,0.97182555327552,0.659617679597423,0.844051589231538,0.155948410768462,0.797426328274657,0.202573671725343,0.944158183305874,0.744456168167104,602.5,17.5,53.75,103.75,"kknn","cv",1,4,"over",2,"optimal",14,"","normalize"
0.910936781438067,0.698663198082858,0.0890632185619332,0.919626698407395,0.864008941877794,0.97348322799045,0.666638251425272,0.844051589231538,0.155948410768462,0.797432118126206,0.202567881873794,0.945712602983817,0.751738183195984,603.5,16.5,52.75,104.75,"kknn","cv",1,4,"over",2,"optimal",15,"","normalize"
0.910292040112092,0.699884830135904,0.0897079598879084,0.916568056947693,0.876270153095786,0.975715910157053,0.661641722760258,0.844051589231538,0.155948410768462,0.792926372939226,0.207073627060774,0.945158269684488,0.753311633931923,601.5,15,54.75,106.25,"kknn","cv",1,4,"over",2,"optimal",16,"","normalize"
0.912221301360119,0.704688708909356,0.0877786986398811,0.918854062256376,0.87640563609267,0.975768923946343,0.666780020320671,0.844051589231538,0.155948410768462,0.794852325700655,0.205147674299345,0.946426969668213,0.75701936836243,603,15,53.25,106.25,"kknn","cv",1,4,"over",2,"optimal",17,"","normalize"
