"accuracy","kappa","misclassification","recall.TRUE","recall.FALSE","precision.TRUE","precision.FALSE","prevalence.TRUE","prevalence.FALSE","detection_prevalence.TRUE","detection_prevalence.FALSE","f1.TRUE","f1.FALSE","TP","FP","FN","TN","classifier","method","cv.iteration","cv.fold","sampling","knn.k","info","preprocess"
0.932799260884094,0.738245776456623,0.0672007391159062,0.965719201284479,0.754589486519442,0.955211872135021,0.804199009184662,0.844051589231538,0.155948410768462,0.853381107879823,0.146618892120177,0.960405863206216,0.777737826787767,633.75,29.75,22.5,91.5,"knn","cv",1,4,"over",1,"","normalize"
0.907076604698713,0.699872523155091,0.0929233953012873,0.905145571147492,0.91749085489771,0.9834876458585,0.641849463917656,0.844051589231538,0.155948410768462,0.77685498572388,0.22314501427612,0.942655147458672,0.754967233230982,594,10,62.25,111.25,"knn","cv",1,4,"over",3,"","normalize"
0.881998585785492,0.643772829146787,0.118001414214508,0.871622327096559,0.938152011922504,0.987116651181202,0.574932557206791,0.844051873255981,0.155948126744019,0.745342261388474,0.254657738611526,0.925737423227899,0.71266789356197,572,7.5,84.25,113.75,"knn","cv",1,4,"over",5,"","normalize"
0.875562029161001,0.627250583130634,0.124437970838999,0.865521865835097,0.929972225985639,0.985279701356354,0.561016960978089,0.844051589231538,0.155948410768462,0.741476097838566,0.258523902161434,0.921512950051191,0.699759723838914,568,8.5,88.25,112.75,"knn","cv",1,4,"over",7,"","normalize"
0.881666922745228,0.643986886377498,0.118333077254772,0.870473813899098,0.942233437203631,0.98788378020363,0.573553599267938,0.844051873255981,0.155948126744019,0.743728553420466,0.256271446579534,0.925465282100846,0.713026541885839,571.25,7,85,114.25,"knn","cv",1,4,"over",9,"","normalize"
0.879417148672604,0.638925682486125,0.120582851327396,0.868186648476074,0.940235062999594,0.987494314083588,0.569897082144796,0.844051873255981,0.155948126744019,0.742115671512334,0.257884328487666,0.923910764245647,0.709128586693394,569.75,7.25,86.5,114,"knn","cv",1,4,"over",11,"","normalize"
0.88264043430924,0.645716670425132,0.11735956569076,0.872003424657534,0.940184256875762,0.987511362433248,0.576041182148939,0.844051873255981,0.155948126744019,0.745343913508227,0.254656086491773,0.926147116978868,0.714249229878036,572.25,7.25,84,114,"knn","cv",1,4,"over",13,"","normalize"
0.884887412201037,0.651291199696847,0.115112587798963,0.87505336525968,0.938118141173283,0.987092792832295,0.582937241659405,0.844051589231538,0.155948410768462,0.748232441034498,0.251767558965502,0.927624305613133,0.718532804710119,574.25,7.5,82,113.75,"knn","cv",1,4,"over",15,"","normalize"
0.894529501076356,0.676305640038044,0.105470498923644,0.88380642796154,0.952580951090638,0.990174787377166,0.602651064106172,0.844051873255981,0.155948126744019,0.753371976414338,0.246628023585662,0.933962001610459,0.73817236997553,580,5.75,76.25,115.5,"knn","cv",1,4,"over",17,"","normalize"
0.897754116584451,0.684749730627029,0.102245883415549,0.887245006867877,0.954630131418507,0.990637696403215,0.610888707915977,0.844051589231538,0.155948410768462,0.755953621634856,0.244046378365144,0.936060758626238,0.744781058306217,582.25,5.5,74,115.75,"knn","cv",1,4,"over",19,"","normalize"
0.884884103714438,0.653160763969271,0.115115896285562,0.873135696254223,0.9484825904349,0.989207174979542,0.581019689535353,0.844051589231538,0.155948410768462,0.745011629330395,0.254988370669605,0.927511627401349,0.720337086952648,573,6.25,83.25,115,"knn","cv",1,4,"over",21,"","normalize"
0.889062308728119,0.664886179987449,0.110937691271881,0.876951312321342,0.954647066793118,0.990563191888855,0.591439808795927,0.844051589231538,0.155948410768462,0.747260986656874,0.252739013343126,0.930172583337451,0.729607729897141,575.5,5.5,80.75,115.75,"knn","cv",1,4,"over",23,"","normalize"
0.894211881053986,0.674949409720227,0.105788118946014,0.883809908304563,0.950497900013548,0.989768727718918,0.601923274475278,0.844051873255981,0.155948126744019,0.753699509155222,0.246300490844778,0.933785610294376,0.737025131440255,580,6,76.25,115.25,"knn","cv",1,4,"over",25,"","normalize"
0.895175564841375,0.677120889185964,0.104824435158625,0.885331398262613,0.948499525809511,0.98937355829463,0.605185625237763,0.844051589231538,0.155948410768462,0.755303917578982,0.244696082421018,0.934428351846325,0.738653117284164,581,6.25,75.25,115,"knn","cv",1,4,"over",27,"","normalize"
0.8964662881758,0.680351946556857,0.1035337118242,0.887239786353343,0.9463826039832,0.988966385748176,0.609836985261533,0.844051589231538,0.155948410768462,0.757236487313608,0.242763512686392,0.935271322276388,0.741142102808187,582.25,6.5,74,114.75,"knn","cv",1,4,"over",29,"","normalize"
0.893888478612484,0.67552316823341,0.106111521387516,0.882666035564465,0.954613196043896,0.990580156774909,0.601424264286655,0.844051873255981,0.155948126744019,0.75209075754647,0.24790924245353,0.933482057672369,0.737696010170941,579.25,5.5,77,115.75,"knn","cv",1,4,"over",31,"","normalize"
0.894216011353367,0.675778192968846,0.105783988646633,0.883050613468463,0.954630131418507,0.990631797524328,0.601402217856198,0.844051873255981,0.155948126744019,0.752416638167601,0.247583361832399,0.933735189994758,0.737807877405969,579.5,5.5,76.75,115.75,"knn","cv",1,4,"over",33,"","normalize"
0.889709117858218,0.662636313658866,0.110290882141782,0.880000672866318,0.942233437203631,0.988032465550482,0.592349039749859,0.844051589231538,0.155948410768462,0.751765491161378,0.248234508838622,0.930872340498299,0.727265216135011,577.5,7,78.75,114.25,"knn","cv",1,4,"over",35,"","normalize"
