"accuracy","kappa","misclassification","recall.TRUE","recall.FALSE","precision.TRUE","precision.FALSE","prevalence.TRUE","prevalence.FALSE","detection_prevalence.TRUE","detection_prevalence.FALSE","f1.TRUE","f1.FALSE","TP","FP","FN","TN","classifier","method","cv.iteration","cv.fold","sampling","kknn.distance","kknn.kernel","kknn.k","info","preprocess"
0.866560352760609,0.593897011868472,0.133439647239391,0.865525346178119,0.872137921690828,0.973411104357095,0.54732408925767,0.844051873255981,0.155948126744019,0.750486136237099,0.249513863762901,0.916212313033747,0.671945313225613,568,15.5,88.25,105.75,"kknn","cv",1,4,"under",2,"optimal",1,"","normalize"
0.869444540818097,0.606213821734158,0.130555459181903,0.865136707873928,0.892782143341011,0.977640468897143,0.553638463592114,0.844051873255981,0.155948126744019,0.746936969979332,0.253063030020668,0.917770315221917,0.682314337034587,567.75,13,88.5,108.25,"kknn","cv",1,4,"under",2,"optimal",2,"","normalize"
0.870100131346918,0.601446811370458,0.129899868653082,0.869337481902216,0.874119360520255,0.97406801346581,0.554121487605598,0.844051589231538,0.155948410768462,0.753385408912401,0.246614591087599,0.918624539926836,0.677576134512884,570.5,15.25,85.75,106,"kknn","cv",1,4,"under",2,"optimal",3,"","normalize"
0.870412269962976,0.604070058414861,0.129587730037024,0.868184908304563,0.882519306327056,0.975656367058451,0.55345852283221,0.844051873255981,0.155948126744019,0.751115593862706,0.248884406137294,0.918742087451038,0.679967944671583,569.75,14.25,86.5,107,"kknn","cv",1,4,"under",2,"optimal",4,"","normalize"
0.8688043444141,0.594806568845774,0.131195655585899,0.870093876452463,0.86177347242921,0.97161990545224,0.551157488919071,0.844051873255981,0.155948126744019,0.755950935347598,0.244049064652402,0.917982047402369,0.671834625322997,571,16.75,85.25,104.5,"kknn","cv",1,4,"under",2,"optimal",5,"","normalize"
0.886500299418037,0.646820823832481,0.113499700581963,0.883051193525634,0.905178837555887,0.98053368094023,0.589256666065779,0.844051589231538,0.155948410768462,0.760133067331011,0.239866932668989,0.929215805076763,0.713618921067314,579.5,11.5,76.75,109.75,"kknn","cv",1,4,"under",2,"optimal",6,"","normalize"
0.882638054874559,0.640605241693412,0.117361945125441,0.876955372721535,0.913392494241973,0.982183189868645,0.581511141123637,0.844051589231538,0.155948410768462,0.753701782943428,0.246298217056572,0.92642019112806,0.70930514114555,575.5,10.5,80.75,110.75,"kknn","cv",1,4,"under",2,"optimal",7,"","normalize"
0.88295732383136,0.640669989784538,0.11704267616864,0.877720468129339,0.911377184663325,0.981713774798385,0.581646122887575,0.844051589231538,0.155948410768462,0.754657935570532,0.245342064429468,0.926696695009418,0.709255214913629,576,10.75,80.25,110.5,"kknn","cv",1,4,"under",2,"optimal",8,"","normalize"
0.888423357253691,0.65813289114254,0.111576642746309,0.880388151056168,0.931970600189676,0.985978729269223,0.592388872084831,0.844051589231538,0.155948410768462,0.753696406652705,0.246303593347295,0.93007535899332,0.723476785009857,577.75,8.25,78.5,113,"kknn","cv",1,4,"under",2,"optimal",9,"","normalize"
0.890355926988318,0.658129361218218,0.109644073011682,0.88571481605227,0.915509416068283,0.982678167192174,0.597153508797036,0.844051589231538,0.155948410768462,0.760774500170387,0.239225499829613,0.931663277313074,0.722696309196242,581.25,10.25,75,111,"kknn","cv",1,4,"under",2,"optimal",10,"","normalize"
0.886497818053088,0.652310363640585,0.113502181946912,0.878480343022608,0.929853678363365,0.98548333303773,0.586095277859287,0.844051589231538,0.155948410768462,0.752416022338901,0.247583977661098,0.928888383140084,0.718849703614608,576.5,8.5,79.75,112.75,"kknn","cv",1,4,"under",2,"optimal",11,"","normalize"
0.893571775962521,0.667053289596576,0.106428224037479,0.88838365909344,0.921623086302669,0.983989346121469,0.60417174667497,0.844051589231538,0.155948410768462,0.762061501457388,0.237938498542612,0.933731792967688,0.729771564524646,583,9.5,73.25,111.75,"kknn","cv",1,4,"under",2,"optimal",12,"","normalize"
0.882320440161057,0.639919561113772,0.117679559838943,0.876185636856369,0.91539086844601,0.982600757628034,0.579459312447404,0.844051589231538,0.155948410768462,0.752738186221477,0.247261813778523,0.926198332753553,0.708818419876094,575,10.25,81.25,111,"kknn","cv",1,4,"under",2,"optimal",13,"","normalize"
0.894858363688698,0.673747933623474,0.105141636311302,0.887626104428852,0.933968974393714,0.986463055864081,0.607483154552143,0.844051589231538,0.155948410768462,0.75948873956586,0.24051126043414,0.934363227370368,0.735546304324964,582.5,8,73.75,113.25,"kknn","cv",1,4,"under",2,"optimal",14,"","normalize"
0.901605608546483,0.687099185124633,0.0983943914535174,0.898292195678806,0.919641647473242,0.98380141238046,0.627761902506707,0.844051589231538,0.155948410768462,0.7707380075632,0.2292619924368,0.939003159324951,0.745219330439239,589.5,9.75,66.75,111.5,"kknn","cv",1,4,"under",2,"optimal",15,"","normalize"
0.891325727122642,0.664108759627454,0.108674272877358,0.884197386494413,0.929887549112586,0.985529673623224,0.598331884545317,0.844051589231538,0.155948410768462,0.757239795800207,0.242760204199793,0.932091621039619,0.727960268806708,580.25,8.5,76,112.75,"kknn","cv",1,4,"under",2,"optimal",16,"","normalize"
0.903215187276884,0.692015646453014,0.0967848127231161,0.89904452982886,0.925738382333017,0.984986315083577,0.629642863319983,0.844051589231538,0.155948410768462,0.770421219971348,0.229578780028652,0.940023192184505,0.749250755513642,590,9,66.25,112.25,"kknn","cv",1,4,"under",2,"optimal",17,"","normalize"
