"name","type","level","value","freq","n","mode","highest_freq","missing","missing_percent","entropy"
"name_16","character","1836","Abbeville, Acadia, Accomack, Ada, Adair ...","1, 1, 1, 1, 4 ...","3111","Washington","28","0","0","10.27551"
"statecode_prev","integer","50","1, 4, 5, 6, 8 ...","67, 15, 75, 58, 64 ...","3111","48","254","0","0","5.247239"
"rep16_win","logical","2","FALSE, TRUE","486, 2625","3111","TRUE","2625","0","0","0.6251891"
"rep12_win","logical","2","FALSE, TRUE","692, 2419","3111","TRUE","2419","0","0","0.7645916"
"rep08_win","logical","2","FALSE, TRUE","874, 2237","3111","TRUE","2237","0","0","0.8567266"
