"name","type","preview"
"Children.Under.6.Living.in.Poverty","numeric","21.3, 20.2, 37.1, 24, 21.2, 51.5, 33, 30.6, 35, 22.8 ..."
"Child.Poverty.living.in.families.below.the.poverty.line","numeric","14.5, 18.8, 33.9, 18.4, 18.2, 48.8, 32.5, 26.8, 30.2, 27.3 ..."
"Adults.65.and.Older.Living.in.Poverty","numeric","8.6, 5.4, 20.2, 11.3, 10.9, 17, 22.7, 10.9, 15.7, 9.4 ..."
"Poverty.Rate.below.federal.poverty.threshold","numeric","10.6, 12.2, 25, 12.6, 13.4, 25.3, 25, 19.5, 20.3, 17.6 ..."
"Unemployment","numeric","0.059, 0.061, 0.108, 0.071, 0.061, 0.091, 0.086, 0.079, 0.067, 0.059 ..."
"Management.professional.and.related.occupations","numeric","29.3, 31.5, 26.6, 20.1, 24.7, 21.2, 22.2, 27.7, 23.5, 25.2 ..."
"Service.occupations","numeric","16.9, 17.6, 15.7, 13.2, 16, 15.5, 17.8, 16.1, 14, 15.2 ..."
"Sales.and.office.occupations","numeric","29.1, 26.9, 21.3, 22.9, 25.6, 24.3, 26.1, 23.7, 25.7, 20.2 ..."
"Farming.fishing.and.forestry.occupations","numeric","0.5, 1, 1.9, 0.6, 1.3, 5.2, 2, 0.5, 0.5, 0.9 ..."
"Construction.extraction.maintenance.and.repair.occupations","numeric","11, 12.5, 8.4, 18, 14.5, 6.6, 9.3, 11.4, 13.3, 13.1 ..."
"Production.transportation.and.material.moving.occupations","numeric","13.1, 10.6, 26.1, 25.3, 17.9, 27.2, 22.7, 20.6, 23, 25.5 ..."
"School.Enrollment","numeric","78.9, 75.2, 69, 65.2, 72.9, 67.8, 74.6, 74.3, 75.5, 67.7 ..."
"Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","numeric","42.3, 43, 32.5, 20.9, 29, 51.6, 34, 37.7, 63.2, 24.2 ..."
"Less.Than.High.School","numeric","14.7, 12.4, 28.1, 25.5, 25.3, 25.3, 25.2, 21.5, 28.2, 26.6 ..."
"At.Least.Bachelor.s.Degree","numeric","21.7, 26.8, 13.5, 10, 12.5, 12, 11, 16.1, 10.8, 10.5 ..."
"Graduate.Degree","numeric","7.1, 8.7, 6, 2.6, 4.2, 3.7, 3.2, 6.4, 3.7, 4.2 ..."
"life_expectancy","numeric","75.9744301186178, 77.5687723785166, 74.8669806094183, 74.3329077353215, 75.8481234193222, 72.0666917293233, 73.442473347548, 73.2120082815735, 73.1011715481172, 74.6451503006012 ..."
"Infant.mortality","numeric","7.1, 5.9, 13, 14, 6, NA, NA, 8, 9.3, NA ..."
"Injury.deaths","numeric","76.4, 70.2, 63.7, 74.7, 88.5, 89.6, 79.6, 72.7, 77.3, 90.7 ..."
"Poor.physical.health.days","numeric","4.4, 4.1, 4.9, 4.8, 4.6, 5.3, 5.3, 4.9, 5.1, 4.6 ..."
"Poor.mental.health.days","numeric","4.3, 4.2, 4.7, 4.6, 4.5, 4.8, 5.1, 4.9, 4.9, 4.7 ..."
"Low.birthweight","numeric","0.09, 0.09, 0.12, 0.12, 0.07, 0.14, 0.11, 0.09, 0.12, 0.09 ..."
"Teen.births","numeric","35.2, 41.6, 67.9, 48.4, 45.3, 83.5, 56.6, 47.2, 60.7, 49.8 ..."
"Children.in.single.parent.households","numeric","0.273, 0.282, 0.545, 0.32, 0.283, 0.725, 0.523, 0.4, 0.538, 0.315 ..."
"Adult.smoking","numeric","0.187, 0.186, 0.214, 0.21, 0.194, 0.223, 0.228, 0.238, 0.208, 0.198 ..."
"Adult.obesity","numeric","0.309, 0.267, 0.408, 0.401, 0.324, 0.445, 0.36, 0.32, 0.398, 0.327 ..."
"Diabetes","numeric","0.109, 0.109, 0.153, 0.125, 0.117, 0.173, 0.162, 0.126, 0.153, 0.125 ..."
"Sexually.transmitted.infections","numeric","416.1, 308.2, 632.3, 367.3, 159.1, 992.9, 773.1, 680.3, 901.2, 222.9 ..."
"HIV.prevalence.rate","numeric","205.407, 174.325, 399.427, 124.837, 93.727, 368.304, 241.959, 201.955, 363.775, 130.261 ..."
"Uninsured","numeric","0.134, 0.175, 0.174, 0.15, 0.176, 0.185, 0.155, 0.16, 0.168, 0.164 ..."
"Violent.crime","numeric","253.64, 220.67, 146.89, 235.95, 219.03, 283.35, 483.04, 504.52, 553.46, 374.37 ..."
"Homicide.rate","numeric","5.1, 3.8, 4.5, 7.4, 3.3, NA, 10.2, 10.8, 9.9, NA ..."
"winter_PRCP","numeric","NA, NA, NA, 16.255, 15.455, 13.775, 14.79, 13.96, 14.51, 14.7 ..."
"winter_TAVG","numeric","NA, 51.3, 47, NA, NA, NA, 47.3, NA, 44.6, NA ..."
