"name","value"
"Number of instances","3110"
"Number of features","46"
"Number of continuous features","43"
"Number of binary features","2"
"Number of nominal features","1"
"Number of missing values","0"
"Percentage of missing values","0"
"Maximum Entropy for a feature","11.6027"
