"accuracy","kappa","misclassification","recall.TRUE","recall.FALSE","precision.TRUE","precision.FALSE","prevalence.TRUE","prevalence.FALSE","detection_prevalence.TRUE","detection_prevalence.FALSE","f1.TRUE","f1.FALSE","TP","FP","FN","TN","crime","demographics","education","election","finance","healthcare","occupation","race","weather"
0.710003572704537,0.260870994286237,0.289996427295463,0.71762962962963,0.66872852233677,0.921959255040352,0.306832059807946,0.844051446945338,0.155948553054662,0.657377634869596,0.342622365130404,0.80595353680252,0.418645795288251,376.755555555556,32.1333333333333,148.244444444444,64.8666666666667,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.752054305108968,0.344758349762341,0.247945694891033,0.755555555555556,0.733104238258877,0.939194762804767,0.362023859256225,0.844051446945338,0.155948553054662,0.679349767774205,0.320650232225795,0.836319613005663,0.481914687979877,396.666666666667,25.8888888888889,128.333333333333,71.1111111111111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.757877813504823,0.328025319516561,0.242122186495177,0.777015873015873,0.654295532646048,0.924546961792661,0.367863353252577,0.844051446945338,0.155948553054662,0.709753483386924,0.290246516613076,0.841943852433855,0.463295238669017,407.933333333333,33.5333333333333,117.066666666667,63.4666666666667,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.765416220078599,0.319501692921563,0.2345837799214,0.795386243386243,0.603207331042383,0.915563208009349,0.371914030810706,0.844051446945338,0.155948553054662,0.733226152197213,0.266773847802787,0.849100839900321,0.452473560390413,417.577777777778,38.4888888888889,107.422222222222,58.5111111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
0.72583065380493,0.307907227250774,0.27416934619507,0.725248677248677,0.728980526918671,0.935751243942672,0.334367040864573,0.844051446945338,0.155948553054662,0.654412290103608,0.345587709896392,0.815478295654928,0.456311883611348,380.755555555556,26.2888888888889,144.244444444444,70.7111111111111,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
0.82604501607717,0.504076880664102,0.17395498392283,0.822857142857143,0.843298969072165,0.966010124766161,0.471320665714966,0.844051446945338,0.155948553054662,0.718971061093248,0.281028938906752,0.888433236634196,0.603633211544036,432,15.2,93,81.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
0.75058949624866,0.350356396289365,0.24941050375134,0.749544973544974,0.756242840778923,0.943634297127335,0.362126394010392,0.844051446945338,0.155948553054662,0.670668095748482,0.329331904251518,0.834659942228159,0.487596741031014,393.511111111111,23.6444444444444,131.488888888889,73.3555555555556,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
0.838656663093962,0.520919610806005,0.161343336906038,0.843470899470899,0.812600229095074,0.960823322501505,0.497863857506277,0.844051446945338,0.155948553054662,0.741157556270096,0.258842443729904,0.897688375981338,0.614194837136805,442.822222222222,18.1777777777778,82.1777777777778,78.8222222222222,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0.585316184351554,0.121983057919671,0.414683815648446,0.575026455026455,0.641008018327606,0.897908721091008,0.219612180471939,0.844051446945338,0.155948553054662,0.541336191496963,0.458663808503037,0.697238859067735,0.325287983448935,301.888888888889,34.8222222222222,223.111111111111,62.1777777777778,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
0.782100750267953,0.399484913617489,0.217899249732047,0.786962962962963,0.755784650630011,0.946373080039115,0.40283808963873,0.844051446945338,0.155948553054662,0.702322257949268,0.297677742050732,0.858165103778589,0.522046044841944,413.155555555556,23.6888888888889,111.844444444444,73.3111111111111,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.785494819578421,0.405657753351974,0.214505180421579,0.791661375661376,0.752119129438717,0.945514010317316,0.408781122685897,0.844051446945338,0.155948553054662,0.706859592711683,0.293140407288317,0.860619484549643,0.526541150830122,415.622222222222,24.0444444444444,109.377777777778,72.9555555555555,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.773919256877456,0.364111399011139,0.226080743122544,0.789544973544974,0.689347079037801,0.932278220109622,0.387616692783481,0.844051446945338,0.155948553054662,0.714862450875313,0.285137549124687,0.853825728090365,0.492050502955783,414.511111111111,30.1333333333333,110.488888888889,66.8666666666667,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
0.75966416577349,0.366605568956492,0.240335834226509,0.759661375661376,0.759679266895762,0.944937339343393,0.374370688265477,0.844051446945338,0.155948553054662,0.678670953912111,0.321329046087889,0.841200984733814,0.499483388434341,398.822222222222,23.3111111111111,126.177777777778,73.6888888888889,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
0.823972847445516,0.500219049307816,0.176027152554484,0.821544973544974,0.837113402061856,0.964968011959348,0.471629656411118,0.844051446945338,0.155948553054662,0.718828152911754,0.281171847088246,0.886687392647507,0.600463756590909,431.311111111111,15.8,93.6888888888889,81.2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
