"elec_rep16_win","fips_state","elec_rep12_win","elec_voting_participation","elec_voting_power","demo_sex_ratio","demo_population_density","demo_median_age","demo_age_dependency_ratio","population_white","population_african_american","population_native","population_asian","population_other","population_latino","population_homnogenity_index","finance_gini_coef","finance_median_earning","poverty_children","poverty_child_living_in_families","poverty_below_federal_threshold","poverty_adult","demo_unemployment","occupation_management","occupation_service","occupation_sale","occupation_agriculture","occupcation_maintainance","occupation_transportation","education_less_than_high_school","education_at_least_bachelor","education_graduate_degree","education_school_enrollment","education_preschool_enrollment","demo_uninsured","healthcare_life_expectancy","health_infant_mortality","health_hiv","health_sti","health_poor_physiscal_health_days","health_poor_mental_health_days","health_children_with_single_parent","health_adult_smoking","health_adult_obesity","health_diabetes","health_low_birth_weight","health_teen_birth","health_injury","demo_violent_crime","demo_homicide","weather_winter_prcp","weather_winter_tavg"
TRUE,"1",TRUE,71.9700903520615,0.0601348478406123,89.4,7.81578932653413,41.1,68,54,43.7,0.4,0.3,0.7,1,0.47806675,0.523,27195,34.9,37,29.2,24.1,0.125,28,15,20.1,2.1,11.8,23.1,23.9,13.5,4.9,76.3,46.5,0.157,74.6784054910243,11.1,136.786,763.1,5.3,4.9,0.49,0.212,0.361,0.155,0.13,40.8,84.4,464.12,6.4,15.1622222222222,48.1666666666667
TRUE,"1",TRUE,64.7692009309542,0.0289784017840873,97.2,8.65397492020916,43.8,69.1,80.3,14.7,0.4,0.2,1.6,2.9,0.66796,0.421,27343,29.1,21.1,18.8,15.4,0.072,23.6,11.7,18.6,3,14.2,29,28.6,9.5,3.1,74.4,55.3,0.192,74.1101419878296,9.26281635301752,175.085,521,5,4.8,0.395,0.204,0.377,0.135,0.12,50.3,64,313.03,9.10615043400437,16.34,44
TRUE,"1",TRUE,55.5907451394387,0.0274164576843311,95.6,10.3415512941975,41.3,69.2,93.2,3.3,0.3,0.2,0.9,2.1,0.86157475,0.424,22130,15.7,24,17.1,13.7,0.067,24.7,15.2,18.4,2.5,18.1,21.2,29.7,8.4,3.7,73,58.7,0.167,74.0897750511247,9.26281635301752,112.423,323.6,4.3,4.4,0.288,0.185,0.3,0.11,0.09,57.2,95.2,224.33,11.8560793049677,15.57,42.8
TRUE,"1",TRUE,52.750499001996,0.0859980388924081,97.9,28.9355513569625,38.8,64.6,72.3,16.5,1.2,1.3,2.3,6.4,0.570465,0.452,26565,27.2,26.4,17.2,13.4,0.067,32.3,13.7,24,2.3,12.4,15.3,20.7,22.1,8.5,70.9,30.8,0.168,76.182132390096,8.7,164.35,597,4.8,4.6,0.401,0.193,0.302,0.123,0.09,41.1,55.5,363.9,3.2,14.635,49.7
TRUE,"1",TRUE,55.7195484254308,0.10171727076301,93.5,35.4712385344738,42.2,66.2,79.6,16,0.5,0.4,1.5,2,0.66614725,0.435,26020,31.3,24.2,15.7,8.6,0.082,27.4,14.9,27,0.7,11,19,19.9,16.4,5.9,76,30.9,0.145,73.9791989664083,7.7,102.056,549.2,4.8,4.8,0.34,0.185,0.366,0.134,0.1,51.8,69.4,372.9,5.2,17.11,41.25
TRUE,"1",FALSE,70.7452165156093,0.0304796036132974,92.3,5.84269520102575,43.7,71.5,51.1,46.3,0.3,0.1,0.9,1.2,0.48306375,0.484,23109,49.2,48.6,30.6,17.6,0.107,21.4,15,27.6,1.4,11.7,22.8,28.7,9.7,4.3,73,32.5,0.181,73.5558190327613,9.26281635301752,300.191,577.8,5.8,5.3,0.481,0.238,0.372,0.185,0.14,52.8,97.7,612.84,10.8460793049677,15.665,49.25
TRUE,"1",TRUE,60.0022719527434,0.0229171909303113,102.4,6.54075471631523,45.1,57.2,65.9,30.8,0.3,0.1,0.8,2,0.537287,0.443,23676,26.3,20.6,16,14.2,0.088,21.7,18.4,19.8,1.3,12.1,26.6,26.9,10.6,4.8,71.2,25.6,0.173,73.9162845849802,9.26281635301752,156.887,446.8,5.1,4.9,0.449,0.218,0.388,0.156,0.12,48.8,100.9,290.92,9.10615043400437,15.62,44
TRUE,"1",TRUE,52.5887322024661,0.0669857082114872,93.8,14.195523583683,42.6,71.8,84.1,12.4,0.5,0.4,1.3,1.3,0.725629,0.475,21681,36.7,28.3,19,12.8,0.078,24.6,14.3,24,3.2,14.1,19.8,23.5,13.1,4.8,74.5,46.2,0.169,74.7500619195046,9.2,147.493,400.5,4.8,4.8,0.378,0.199,0.316,0.129,0.1,65.6,64.4,242.18,4.3860793049677,15.1611111111111,50.8
TRUE,"1",TRUE,60.6552733452932,0.0278720247134266,97,8.83892828594449,41.3,67,72.1,23.3,0.4,1.4,1.4,1.5,0.57347825,0.466,22142,28.3,25.5,17.7,16.7,0.07,27.8,14.6,23,2.8,12.3,19.4,26.3,10.1,3.9,79.6,29.9,0.165,73.2326395939086,9.26281635301752,214.206,575.2,4.9,4.7,0.401,0.204,0.366,0.138,0.08,49.5,78.7,441.53,9.10615043400437,14.6625,46.9
TRUE,"1",TRUE,56.442128646565,0.14992493990854,98,42.5408757300168,40.5,66.4,92.7,1,0.5,0.4,1,4.3,0.86498575,0.445,24190,24.9,21.6,16.7,12.6,0.061,25.5,15.4,23.8,1.3,14.2,19.8,23.1,13.8,5.4,74.1,36.9,0.188,75.0076767676768,6.5,68.174,294.6,4.5,4.7,0.289,0.201,0.347,0.115,0.09,55,73.3,201.19,3.2,16.04,42.3
